timestamp ba_x ba_y ba_z bg_x bg_y bg_z
1752139293.442732 -0.00797881 -0.00424095 0.01815978 -0.00403738 -0.00328052 -0.00806021
1752139294.652666 -0.02903760 -0.02830616 0.02070313 -0.00412551 -0.00330407 -0.00816714
1752139296.214974 -0.21643594 -0.08665325 0.01915537 -0.00396385 -0.00318498 -0.00806786
1752139297.474183 -0.21264517 -0.09350215 0.02024400 -0.00388722 -0.00319199 -0.00814271
1752139298.931559 -0.19292405 -0.13685980 0.02710008 -0.00389719 -0.00317643 -0.00812486
1752139300.291088 -0.18456532 -0.15477505 0.02995745 -0.00393534 -0.00317017 -0.00812040
1752139301.053980 0.18638165 -0.38612113 0.08233372 -0.00493161 -0.00306226 -0.00819493
1752139301.815643 -0.07272257 -0.36738031 0.06440301 -0.00416085 -0.00324290 -0.00820155
1752139304.979681 -0.07340390 -0.36765389 0.06440751 -0.00416077 -0.00324289 -0.00820157
1752139308.662092 -0.07355498 -0.36777406 0.06441678 -0.00416083 -0.00324287 -0.00820159
1752139309.502886 -0.09484177 -0.17397200 0.03863680 -0.00517550 -0.00348610 -0.00830369
1752139311.611870 -0.00308539 -0.13133370 0.03624621 -0.00521424 -0.00350162 -0.00817847
1752139312.344846 -0.02040898 0.34301211 -0.02855528 -0.00504714 -0.00340037 -0.00831307
1752139313.043462 -0.06709879 -0.35122420 0.06243619 -0.00415978 -0.00324251 -0.00819678
1752139314.242575 -0.07321512 -0.36890532 0.06459021 -0.00415491 -0.00323881 -0.00819678
1752139315.908981 -0.07321512 -0.36890532 0.06459021 -0.00415491 -0.00323881 -0.00819678
1752139317.243359 -0.07338729 -0.36949317 0.06466341 -0.00415494 -0.00323883 -0.00819679
1752139318.546943 -0.07340045 -0.36932325 0.06463917 -0.00415489 -0.00323902 -0.00819677
1752139322.381737 -0.07339811 -0.36930818 0.06463719 -0.00415489 -0.00323902 -0.00819677
1752139323.112800 -0.07331790 -0.37029878 0.06477869 -0.00415560 -0.00323701 -0.00819701
1752139324.755507 -0.07332880 -0.37015828 0.06475862 -0.00415552 -0.00323729 -0.00819698
1752139326.190174 -0.07329652 -0.37051232 0.06480938 -0.00415576 -0.00323650 -0.00819708
1752139327.118221 -0.07318224 -0.37155292 0.06495949 -0.00415663 -0.00323381 -0.00819740
1752139328.181740 -0.07330046 -0.37039473 0.06479269 -0.00415563 -0.00323674 -0.00819705
1752139329.143165 -0.07331949 -0.37019911 0.06476453 -0.00415545 -0.00323711 -0.00819700
1752139329.839851 -0.07318858 -0.37139688 0.06493728 -0.00415638 -0.00323430 -0.00819735
1752139330.572016 -0.07317184 -0.37163366 0.06497090 -0.00415647 -0.00323392 -0.00819739
1752139331.372734 -0.07318990 -0.37156678 0.06496067 -0.00415631 -0.00323421 -0.00819735
1752139332.571820 -0.02730532 -0.26256705 0.04991742 -0.00417588 -0.00310668 -0.00817879
1752139333.269388 -0.07124871 -0.37256365 0.06519372 -0.00416122 -0.00322741 -0.00819839
1752139334.837591 -0.07310605 -0.37178137 0.06499432 -0.00415641 -0.00323406 -0.00819737
1752139336.906883 -0.05206127 -0.32562369 0.05868834 -0.00425521 -0.00321653 -0.00822352
1752139337.410255 -0.05206127 -0.32562369 0.05868834 -0.00425521 -0.00321653 -0.00822352
1752139338.349488 -0.06053519 -0.37758692 0.06641846 -0.00422672 -0.00320967 -0.00820617
1752139339.822815 -0.06584497 -0.37930958 0.06639703 -0.00419947 -0.00320832 -0.00820383
1752139340.565750 -0.06845452 -0.37973975 0.06632874 -0.00418661 -0.00320539 -0.00820296
1752139341.316873 -0.06970052 -0.38027260 0.06634164 -0.00418041 -0.00320227 -0.00820271
1752139342.185459 -0.07041956 -0.38032749 0.06631391 -0.00417652 -0.00320146 -0.00820244
1752139345.417776 -0.07086402 -0.38006569 0.06625568 -0.00417376 -0.00320234 -0.00820210
1752139346.182912 -0.07106100 -0.37979335 0.06620813 -0.00417392 -0.00319895 -0.00820245
